Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_Dropout,Status_Enrolled,Status_Graduate
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,126.0,Portuguese,Higher Education,Higher Education,Professionals,Professionals,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,1,True,False,False
Single,1st phase - general contingent,Second Choice,Management,Daytime,Secondary education,133.0,Portuguese,Higher Education,Basic Education,Professionals,Skilled Workers,120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,103.0,Portuguese,Secondary Education,Higher Education,Professionals,Professionals,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Education,Service Workers,Service Workers,121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,1,True,False,False
Single,Over 23 years old,First Choice,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,1,True,False,False
Single,2nd phase - general contingent,First Choice,Management (evening attendance),Evening,Secondary education,154.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Service Workers,134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,2,False,True,False
Single,2nd phase - general contingent,Second Choice,Social Service,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,132.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Skilled Workers,132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,0,False,False,True
Single,Technological specialization diploma holders,First Choice,Social Service (evening attendance),Evening,Technological specialization,130.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Unskilled Workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,139.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,0,False,False,True
Single,Over 23 years old,First Choice,Tourism,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic Education,Basic Education,Agricultural Workers,Agricultural Workers,121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,2,False,True,False
Single,1st phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,127.0,Portuguese,Secondary Education,Basic Education,Skilled Workers,Skilled Workers,121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,2,False,True,False
Single,1st phase - general contingent,Second Choice,Equinculture,Daytime,Secondary education,167.0,Portuguese,Basic Education,Basic Education,Other,Other,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,0,False,False,True
Single,Over 23 years old,First Choice,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,1,True,False,False
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,130.0,Portuguese,Secondary Education,Basic Education,Service Workers,Service Workers,129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,0,False,False,True
Married,Holders of other higher courses,First Choice,Tourism,Daytime,Higher education,130.0,Portuguese,Secondary Education,Higher Education,Administrative Staff,Technicians,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,1,True,False,False
Single,Over 23 years old,First Choice,Equinculture,Daytime,Higher education,129.0,Portuguese,Higher Education,Higher Education,Professionals,Professionals,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,1,True,False,False
Single,2nd phase - general contingent,First Choice,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Armed Forces,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,0,False,False,True
Single,1st phase - general contingent,Second Choice,Animation and Multimedia Design,Daytime,Secondary education,125.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Unskilled Workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,2,False,True,False
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,125.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,0,False,False,True
Single,Technological specialization diploma holders,First Choice,Social Service,Daytime,Technological specialization,130.0,Portuguese,Basic Education,Secondary Education,Unskilled Workers,Unskilled Workers,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Animation and Multimedia Design,Daytime,Secondary education,133.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,2,False,True,False
Single,2nd phase - general contingent,First Choice,Communication Design,Daytime,Secondary education,127.0,Portuguese,Secondary Education,Secondary Education,Technicians,Administrative Staff,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,2,False,True,False
Single,Change of course,First Choice,Communication Design,Daytime,Secondary education,116.0,Portuguese,Secondary Education,Secondary Education,Technicians,Technicians,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,2,False,True,False
Divorced,Transfer,First Choice,Nursing,Daytime,Basic education,133.1,Portuguese,Secondary Education,Secondary Education,Service Workers,Service Workers,126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,1,True,False,False
Single,1st phase - general contingent,Second Choice,Animation and Multimedia Design,Daytime,Secondary education,139.0,Portuguese,Basic Education,Basic Education,Service Workers,Technicians,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,False,False,True
Single,Technological specialization diploma holders,First Choice,Agronomy,Daytime,Technological specialization,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,0,False,False,True
Single,1st phase - general contingent,Second Choice,Management,Daytime,Secondary education,125.0,Portuguese,Secondary Education,Basic Education,Skilled Workers,Skilled Workers,120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,1,True,False,False
Single,Over 23 years old,First Choice,Tourism,Daytime,Secondary education,160.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Armed Forces,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,2,False,True,False
Single,2nd phase - general contingent,First Choice,Management,Daytime,Secondary education,148.0,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,134.0,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,2,False,True,False
Single,2nd phase - general contingent,First Choice,Nursing,Daytime,Secondary education,150.0,Portuguese,Basic Education,Basic Education,Machine Operators,Administrative Staff,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Animation and Multimedia Design,Daytime,Secondary education,141.0,Portuguese,Basic Education,Basic Education,Service Workers,Armed Forces,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1,True,False,False
Single,2nd phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,118.0,Portuguese,Basic Education,Basic Education,Service Workers,Skilled Workers,111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,1,True,False,False
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,142.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Management,Daytime,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Skilled Workers,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,1,True,False,False
Single,3rd phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,106.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Skilled Workers,106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,1,True,False,False
Single,2nd phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Machine Operators,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,150.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,0,False,False,True
Married,Over 23 years old,First Choice,Social Service (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Agricultural Workers,117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,114.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,1,True,False,False
Single,Over 23 years old,First Choice,Management (evening attendance),Evening,Higher education,140.0,Portuguese,Higher Education,Higher Education,Professionals,Professionals,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,1,True,False,False
Single,Over 23 years old,First Choice,Agronomy,Daytime,Higher education,160.0,Portuguese,Higher Education,Higher Education,Administrative Staff,Professionals,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,1,True,False,False
Single,2nd phase - general contingent,First Choice,Tourism,Daytime,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Administrative Staff,125.5,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,2,False,True,False
Married,Over 23 years old,First Choice,Social Service (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Agricultural Workers,110.0,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,0,False,False,True
Single,Transfer,First Choice,Nursing,Daytime,Secondary education,160.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,161.0,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,0,False,False,True
Single,Over 23 years old,First Choice,Advertising and Marketing Management,Daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Service Workers,100.0,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,0,False,False,True
Single,2nd phase - general contingent,First Choice,Communication Design,Daytime,Secondary education,124.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Student,117.6,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,0,False,False,True
